YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,210,26.5,21,23.8,96,11,50
2011,1,2,25.8,27,22.5,24.8,98,16,40
2011,1,3,0,27.7,23.4,25.5,73,12,40
2011,1,4,35.8,27.8,22.5,25.2,82,12,50
2011,1,5,82.1,27.9,21.5,24.7,98,8,40
2011,1,6,7.3,26.4,23,24.7,95,8,30
2011,1,7,23.9,29,21.8,25.4,91,6,40
2011,1,8,4.7,28.2,22.8,25.5,88,5,40
2011,1,9,25,29.5,23.5,26.5,91,6,50
2011,1,10,6.7,28.3,24.8,26.6,92,9,50
2011,1,11,20.8,28,23,25.5,91,10,90
2011,1,12,12,27,23.2,25.1,95,10,40
2011,1,13,22.5,27.8,23.5,25.7,96,4,30
2011,1,14,0,32.5,24.2,28.4,87,2,180
2011,1,15,0,31.8,25.3,28.6,88,2,200
2011,1,16,82.2,29,23.3,26.2,92,10,30
2011,1,17,93.4,26.9,22.8,24.9,93,14,40
2011,1,18,45.4,27.3,21.5,24.4,97,6,340
2011,1,19,27.2,26.1,23,24.5,96,3,40
2011,1,20,1,28.5,22.7,25.6,94,3,80
2011,1,21,10.7,27.6,23.3,25.5,96,2,40
2011,1,22,7.7,29.6,24.5,27,93,6,40
2011,1,23,1.2,29,24.4,26.7,91,7,50
2011,1,24,12,29.3,22.6,26,88,8,50
2011,1,25,40.7,29.3,22.5,25.9,93,12,50
2011,1,26,22.8,28.3,23.6,26,91,13,50
2011,1,27,49.7,27,23.7,25.4,92,13,60
2011,1,28,0,27.5,24.7,26.1,86,12,60
2011,1,29,2,28.5,24.5,26.5,79,10,40
2011,1,30,28.9,27,23.3,25.2,82,10,40
2011,1,31,30.8,26.7,22.3,24.5,92,14,40
2011,2,1,60.7,26,21.5,23.8,96,15,40
2011,2,2,136.5,27.5,21.8,24.7,97,9,40
2011,2,3,8.7,28.5,23,25.8,93,5,90
2011,2,4,5.6,28.5,23.2,25.9,96,3,40
2011,2,5,1,30,29.8,29.9,94,2,90
2011,2,6,1,28,24.3,26.2,92,2,50
2011,2,7,0,29.2,23.5,26.4,91,2,90
2011,2,8,0,31.3,24.5,27.9,86,2,100
2011,2,9,0,31.2,24.8,28,92,2,90
2011,2,10,0,30.3,25,27.7,88,2,70
2011,2,11,10.5,30,23.3,26.7,88,2,40
2011,2,12,21.5,29.7,25,27.4,91,9,40
2011,2,13,22.7,26.5,23.3,24.9,95,10,40
2011,2,14,8.9,27.9,22.5,25.2,91,7,50
2011,2,15,15,29.6,24,26.8,88,8,60
2011,2,16,17.6,29.5,20.8,25.2,89,6,50
2011,2,17,7.7,29,21.7,25.4,90,7,50
2011,2,18,26.6,29,22.5,25.8,89,6,50
2011,2,19,70.9,27.5,22.2,24.9,93,8,50
2011,2,20,4,28.5,24.3,26.4,88,6,70
2011,2,21,53.8,27.3,20.3,23.8,97,5,20
2011,2,22,0,29.5,23.5,26.5,81,10,40
2011,2,23,0,28.3,22.8,25.6,75,6,30
2011,2,24,3.1,28.5,22,25.3,85,6,320
2011,2,25,0,28.5,24.5,26.5,82,11,40
2011,2,26,32.4,27.8,24.2,26,88,11,40
2011,2,27,71.5,26,21.3,23.7,96,12,30
2011,2,28,11.2,28.5,23.6,26,94,4,50
2011,3,1,11.5,30.4,23.5,27,94,4,100
2011,3,2,30.1,30.5,22.5,26.5,94,2,300
2011,3,3,51.5,30,21.5,25.8,94,3,360
2011,3,4,25,29.3,21.7,25.5,88,6,80
2011,3,5,1.2,29,23.8,26.4,88,9,50
2011,3,6,29.4,30,22.5,26.3,94,5,90
2011,3,7,0,29.5,25.2,27.4,88,6,70
2011,3,8,2,29.5,23.3,26.4,83,7,50
2011,3,9,0,29.5,24.7,27.1,86,8,30
2011,3,10,5.7,29.5,23.2,26.4,89,11,30
2011,3,11,168.5,28.4,21.8,25.1,91,13,40
2011,3,12,36.5,28,22.7,25.4,93,7,40
2011,3,13,9.4,29.5,24.7,27.1,92,8,40
2011,3,14,79.2,26.8,22.2,24.5,94,6,50
2011,3,15,0,28.9,24.2,26.5,94,4,40
2011,3,16,70.5,29.3,22.8,26.1,93,12,40
2011,3,17,36.6,27.5,22,24.8,94,11,50
2011,3,18,206,26,21.5,23.8,94,7,40
2011,3,19,42.1,27.4,23.8,25.6,94,10,50
2011,3,20,2.4,29.5,25.5,27.5,91,5,40
2011,3,21,0.6,30.3,24.3,27.3,91,4,80
2011,3,22,1,30,24.5,27.3,91,7,40
2011,3,23,9.2,29.5,24.3,26.9,86,10,60
2011,3,24,55.3,27.5,23,25.3,96,11,30
2011,3,25,17.6,27.5,22.4,25,92,11,40
2011,3,26,31.2,28,23,25.5,94,8,40
2011,3,27,8.2,28,23.7,25.9,95,6,40
2011,3,28,3.7,29.5,23.4,26.5,91,6,50
2011,3,29,18.2,29.8,23,26.4,89,6,40
2011,3,30,18.6,29.2,23.5,26.4,91,8,60
2011,3,31,12.6,26.8,23,24.9,96,11,50
2011,4,1,0.5,27.4,23.4,25.4,85,8,30
2011,4,2,7.8,27.8,23.5,25.7,90,6,330
2011,4,3,0.4,28.5,23.3,25.9,91,4,300
2011,4,4,0,29.2,24.4,26.8,86,4,20
2011,4,5,0,28.5,23.6,26,83,5,30
2011,4,6,0,28.5,24,26.3,80,7,50
2011,4,7,0,29.3,24,26.7,82,8,40
2011,4,8,0,29.5,23.9,26.7,80,6,50
2011,4,9,11,29.8,21.5,25.7,83,5,40
2011,4,10,17.7,27,22.6,24.8,96,7,360
2011,4,11,10.1,29.6,24,26.8,90,4,40
2011,4,12,28.8,27.5,22.6,25,95,6,40
2011,4,13,0,29.2,24.3,26.8,85,7,50
2011,4,14,1.8,28,24.5,26.3,86,9,50
2011,4,15,0,28.8,25,26.9,82,7,60
2011,4,16,0,30.2,24.5,27.4,84,5,70
2011,4,17,2,30,23.5,26.8,88,2,90
2011,4,18,15,30.8,24.5,27.7,86,3,60
2011,4,19,0,29.6,24.9,27.3,87,4,40
2011,4,20,10.7,30.2,22.4,26.3,90,9,60
2011,4,21,5.2,27.5,23.8,25.7,91,8,40
2011,4,22,1,29,24.8,26.9,86,6,40
2011,4,23,21,29.7,24.2,27,94,6,50
2011,4,24,22.1,28.7,25,26.9,94,5,50
2011,4,25,2.5,29.3,25,27.2,91,4,90
2011,4,26,0,30.7,25.3,28,89,4,70
2011,4,27,0,31.1,25.4,28.3,86,4,60
2011,4,28,0.2,30.9,24.3,27.6,83,6,60
2011,4,29,15.6,31,24,27.5,91,7,70
2011,4,30,4.7,29.5,24.5,27,94,7,70
2011,5,1,7.2,31.2,24.2,27.7,88,5,70
2011,5,2,4,30.5,26.9,28.7,90,6,60
2011,5,3,12,31.1,24,27.5,92,4,80
2011,5,4,15.7,30.6,22.6,26.6,89,4,60
2011,5,5,51.7,26.5,22.5,24.5,99,3,340
2011,5,6,62.8,27,21.5,24.3,98,5,270
2011,5,7,8.3,27.5,22.5,25,92,9,240
2011,5,8,0,30.7,25.3,28,86,6,210
2011,5,9,0,31.5,26.6,29,90,4,150
2011,5,10,0,31.6,22.6,27.1,88,2,180
2011,5,11,0,30.9,25.5,28.2,89,2,100
2011,5,12,0,31.7,25.1,28.4,84,3,90
2011,5,13,0.5,31.8,25.1,28.5,83,3,90
2011,5,14,4,31,25,28,85,5,60
2011,5,15,4.7,31.5,25.5,28.5,90,4,60
2011,5,16,9,31,25.2,28.1,92,3,60
2011,5,17,0.5,31.4,24.3,27.9,85,3,70
2011,5,18,50.9,31.7,23.3,27.5,89,3,90
2011,5,19,20.6,29.5,22,25.8,95,3,300
2011,5,20,0.9,30,24,27,89,2,30
2011,5,21,2.6,30,25,27.5,92,2,360
2011,5,22,4,31.4,26.6,29,87,2,70
2011,5,23,2.4,31,25.6,28.3,90,3,50
2011,5,24,0,31,24.5,27.8,90,5,300
2011,5,25,7,27.7,23.2,25.5,93,6,280
2011,5,26,0,30.6,25.7,28.2,89,10,210
2011,5,27,0,30,25.5,27.8,88,6,210
2011,5,28,0.2,31.4,25.6,28.5,87,5,200
2011,5,29,0,31.4,26.9,29.1,88,2,180
2011,5,30,0,32.4,27,29.7,90,2,160
2011,5,31,0,31.7,24.5,28.1,87,2,90
2011,6,1,0,31.6,25,28.3,88,2,80
2011,6,2,50,31.7,22.9,27.3,94,3,290
2011,6,3,0,31.7,25.1,28.4,88,2,120
2011,6,4,7.4,31.7,25,28.4,87,4,40
2011,6,5,4.5,31.5,27.6,29.5,90,4,70
2011,6,6,38,30.5,24,27.3,90,3,70
2011,6,7,15.5,28,23.3,25.7,96,3,180
2011,6,8,2.6,30.7,24.5,27.6,94,3,180
2011,6,9,0,31,25,28,92,2,60
2011,6,10,32.4,31,25,28,86,4,50
2011,6,11,28,30.7,24,27.4,91,3,80
2011,6,12,23.8,28.5,24.5,26.5,94,4,50
2011,6,13,7,30.4,24.6,27.5,94,3,90
2011,6,14,5.6,30.4,23.4,26.9,93,2,50
2011,6,15,0,30.5,23.4,27,89,2,80
2011,6,16,49,31.5,22,26.8,87,3,70
2011,6,17,17,30,22,26,96,4,290
2011,6,18,0,30.7,25,27.9,86,6,260
2011,6,19,17,30.5,24.6,27.5,89,4,220
2011,6,20,0,30.2,25.6,27.9,90,2,220
2011,6,21,18.1,28.2,22.4,25.3,94,3,270
2011,6,22,7.3,28.2,24,26.1,96,7,270
2011,6,23,0.2,28,23.6,25.8,90,7,270
2011,6,24,0,30.4,24.5,27.5,86,5,210
2011,6,25,0,32.8,26,29.4,87,3,200
2011,6,26,0,32,24.6,28.3,88,2,140
2011,6,27,4.2,32.1,24.5,28.3,84,2,70
2011,6,28,1.2,31.2,24,27.6,85,2,90
2011,6,29,12.5,30.5,23,26.8,90,2,50
2011,6,30,20.2,29.4,23.2,26.3,94,3,10
2011,7,1,15.6,29.9,22.6,26.3,89,2,40
2011,7,2,2.7,29.8,25,27.4,90,2,360
2011,7,3,15.8,31,25.5,28.3,87,3,40
2011,7,4,65.9,31.5,22.2,26.9,93,3,150
2011,7,5,0.4,31,22.7,26.9,90,5,210
2011,7,6,0,29.7,23.7,26.7,89,5,110
2011,7,7,0,31.6,24,27.8,87,2,210
2011,7,8,0,31.8,25.5,28.7,84,3,200
2011,7,9,0,31.9,25.4,28.6,84,3,260
2011,7,10,0,31.8,23.5,27.7,87,2,220
2011,7,11,0,32.4,23.5,28,88,2,180
2011,7,12,0,32.7,23.7,28.2,85,3,270
2011,7,13,0,33.2,24.2,28.7,89,2,360
2011,7,14,0,33,24.4,28.7,78,3,270
2011,7,15,0,33.5,25.4,29.5,83,4,270
2011,7,16,10.5,32,23.5,27.8,91,4,270
2011,7,17,0,31.5,24.5,28,89,5,220
2011,7,18,0,32.5,24.2,28.4,88,4,260
2011,7,19,3,32.6,23,27.8,84,4,260
2011,7,20,16.5,32.5,22.8,27.7,87,3,280
2011,7,21,68.3,35.4,22,28.7,92,3,270
2011,7,22,17,30.5,24.3,27.4,91,2,260
2011,7,23,6,31,23.8,27.4,90,3,280
2011,7,24,1.2,28,23,25.5,91,5,320
2011,7,25,0,28.4,22.3,25.4,87,5,290
2011,7,26,18,30,21.4,25.7,85,11,240
2011,7,27,0,28.2,24.8,26.5,92,4,290
2011,7,28,16.3,32.5,21.5,27,90,4,240
2011,7,29,11.4,28.7,21.5,25.1,92,5,270
2011,7,30,0,29.5,24.5,27,88,4,270
2011,7,31,0,31,25.5,28.3,84,4,270
2011,8,1,0,32,24.7,28.4,83,4,270
2011,8,2,0,30.5,25.5,28,87,5,260
2011,8,3,0,31.7,25.4,28.5,84,5,270
2011,8,4,0,32.3,25,28.6,85,5,270
2011,8,5,25,32.5,22.3,27.4,86,6,270
2011,8,6,0,31.7,25,28.4,86,5,270
2011,8,7,0.8,32,25.6,28.8,83,4,270
2011,8,8,0,31.7,24.2,28,86,2,290
2011,8,9,16.8,32,22.6,27.3,88,2,280
2011,8,10,1.2,29.5,23,26.3,93,3,270
2011,8,11,0,30.7,24.7,27.7,86,2,220
2011,8,12,47,30.5,22.5,26.5,89,5,40
2011,8,13,22.1,29.9,23.2,26.5,92,3,120
2011,8,14,0,31.5,24.3,27.9,92,2,60
2011,8,15,24.1,30.5,22.4,26.5,87,4,30
2011,8,16,0.5,29.5,23.5,26.5,88,3,360
2011,8,17,0.1,30.5,23.3,26.9,89,2,30
2011,8,18,0.1,31.9,23.5,27.7,87,2,280
2011,8,19,0,31.5,23.8,27.7,83,3,340
2011,8,20,8.4,30.2,22.4,26.3,91,2,270
2011,8,21,10.2,28,23.5,25.8,90,3,270
2011,8,22,0,29.8,23.5,26.7,88,6,270
2011,8,23,3,30.5,23,26.8,88,7,270
2011,8,24,3.5,30.5,23.7,27.1,88,10,270
2011,8,25,0,30.5,25.3,27.9,84,12,250
2011,8,26,0,31.5,25,28.3,85,8,260
2011,8,27,0,31.4,25.2,28.3,87,7,250
2011,8,28,0,32.5,25.3,28.9,88,4,270
2011,8,29,0,30.7,26,28.4,86,4,220
2011,8,30,0,33,24.8,28.9,85,4,220
2011,8,31,0,32.4,25.5,29,86,5,230
2011,9,1,0,30,24.5,27.3,84,4,220
2011,9,2,0,32.5,25.5,29,86,5,270
2011,9,3,4,33,25.2,29.1,87,4,230
2011,9,4,22.2,32.6,23.4,28,91,3,240
2011,9,5,2.2,31.6,24.9,28.3,90,3,270
2011,9,6,0,31.5,23.6,27.5,84,3,240
2011,9,7,85.6,32,23,27.5,89,4,240
2011,9,8,0,29,23.6,26.3,94,2,270
2011,9,9,49,28.5,22,25.3,94,2,290
2011,9,10,15.4,32,23,27.5,86,2,280
2011,9,11,0,31.7,24.6,28.2,92,2,180
2011,9,12,19.5,32.5,24.3,28.4,92,2,260
2011,9,13,0,31.5,26,28.8,87,4,240
2011,9,14,0,32.5,26,29.3,83,6,210
2011,9,15,0,32.2,26.2,29.2,83,4,240
2011,9,16,0,32,26,29,84,5,240
2011,9,17,13.8,32,22,27,85,4,270
2011,9,18,46.6,30.7,22.7,26.7,90,5,270
2011,9,19,0.2,32,24.6,28.3,83,2,240
2011,9,20,0,32,24.9,28.5,86,2,270
2011,9,21,0,32.6,25.5,29.1,87,2,240
2011,9,22,10.5,32.2,24.5,28.4,94,2,230
2011,9,23,6,31.5,24.2,27.9,75,4,270
2011,9,24,2.5,30.9,24,27.5,84,5,270
2011,9,25,1,30,23,26.5,86,7,270
2011,9,26,16.5,29.8,23.3,26.6,86,10,240
2011,9,27,0,31,24.5,27.8,89,6,260
2011,9,28,0,32.6,27.2,29.9,83,5,260
2011,9,29,0,30,24.8,27.4,76,5,270
2011,9,30,0,32.6,23.6,28.1,81,7,280
2011,10,1,0,32,26.4,29.2,85,7,230
2011,10,2,0,31.4,24.4,27.9,86,3,220
2011,10,3,10.8,32.2,22.5,27.4,90,4,240
2011,10,4,19.5,30,23.5,26.8,93,2,270
2011,10,5,2.6,29.5,24.3,26.9,94,2,330
2011,10,6,0,30.8,24.5,27.7,89,2,330
2011,10,7,4.5,31,24,27.5,89,3,120
2011,10,8,20.4,29,22.5,25.8,94,2,260
2011,10,9,0,30.2,25.4,27.8,93,1,90
2011,10,10,64.2,30.9,22.5,26.7,90,3,30
2011,10,11,72.7,27.5,23.5,25.5,95,8,30
2011,10,12,0,29.3,24.5,26.9,93,2,180
2011,10,13,0,31.5,24.5,28,87,3,180
2011,10,14,0,32,25,28.5,87,2,240
2011,10,15,0,32.5,25.2,28.9,87,2,100
2011,10,16,5,32.4,25.8,29.1,87,2,90
2011,10,17,0.6,31,24,27.5,89,3,90
2011,10,18,7.9,30.7,24.5,27.6,88,4,90
2011,10,19,1.5,32.9,24.5,28.7,92,2,90
2011,10,20,0.6,32,24,28,87,3,90
2011,10,21,0,31.8,25,28.4,85,2,90
2011,10,22,3,30.9,25.2,28,85,4,80
2011,10,23,6.7,30.5,24.5,27.5,92,2,80
2011,10,24,0,31.2,24.4,27.8,87,2,320
2011,10,25,10,31,23.6,27.3,85,3,30
2011,10,26,0,31,24.4,27.7,84,3,50
2011,10,27,0,31.5,24.5,28,86,2,300
2011,10,28,0,31,25.2,28.1,86,2,90
2011,10,29,0,32.5,26,29.3,79,3,90
2011,10,30,37.7,30.8,23,26.9,87,4,30
2011,10,31,60.8,28.8,22.6,25.7,94,8,20
2011,11,1,16.9,28.8,24.6,26.7,97,2,90
2011,11,2,41.8,28.4,23.3,25.9,92,2,300
2011,11,3,6.7,29.8,24.3,27.1,91,1,90
2011,11,4,1.8,30.5,23.4,27,91,2,260
2011,11,5,0,29.6,25,27.3,91,2,100
2011,11,6,7,30.5,24.2,27.4,92,1,170
2011,11,7,5,31.6,23.3,27.5,97,2,340
2011,11,8,19.5,30,23,26.5,92,2,20
2011,11,9,0.5,29.5,24.5,27,91,1,140
2011,11,10,0,32.5,25.2,28.9,88,1,270
2011,11,11,2,32.5,26.4,29.5,86,3,90
2011,11,12,0,31,23.5,27.3,83,6,40
2011,11,13,36.9,29.5,22.3,25.9,89,4,30
2011,11,14,123,30.4,22.2,26.3,96,4,90
2011,11,15,1,30,23.3,26.7,94,3,90
2011,11,16,9.3,30.7,24.2,27.5,92,2,180
2011,11,17,26.1,31.5,24,27.8,92,4,90
2011,11,18,2,29.5,25,27.3,94,3,90
2011,11,19,9.5,31,25,28,89,5,90
2011,11,20,22.2,30,24.2,27.1,91,8,20
2011,11,21,105.4,29.5,23.3,26.4,94,7,60
2011,11,22,5,29.5,24.2,26.9,88,7,40
2011,11,23,7.5,30,24.5,27.3,86,8,50
2011,11,24,38.5,30,22.6,26.3,88,9,70
2011,11,25,13.2,29.5,24.5,27,88,10,30
2011,11,26,2.2,30.4,25,27.7,90,6,90
2011,11,27,4.4,31.5,23.6,27.5,89,2,280
2011,11,28,7,35.4,24.5,30,92,2,70
2011,11,29,13,30,26,28,91,3,50
2011,11,30,14,30.5,23.6,27,92,3,90
2011,12,1,0.5,29,23.8,26.4,94,2,50
2011,12,2,7.5,31.5,24.7,28.1,89,1,120
2011,12,3,6,32.8,25.2,29,91,3,90
2011,12,4,8.3,30.2,26.2,28.2,92,5,90
2011,12,5,9.4,31,24.2,27.6,94,4,90
2011,12,6,3.6,28,25,26.5,94,5,60
2011,12,7,36.9,29,22.5,25.8,94,6,60
2011,12,8,23.9,26,22.6,24.3,96,5,90
2011,12,9,2,28,24,26,95,2,260
2011,12,10,0,31.3,24,27.7,89,1,150
2011,12,11,1.5,30.7,24.5,27.6,92,2,90
2011,12,12,6.2,31,24.2,27.6,90,3,60
2011,12,13,9,30.5,24.5,27.5,93,5,60
2011,12,14,16.6,30.9,23.3,27.1,92,7,80
2011,12,15,9.6,30,25,27.5,91,8,30
2011,12,16,92,28.2,22.5,25.4,95,10,70
2011,12,17,56,27.2,23.1,25.2,95,8,60
2011,12,18,6.2,27.5,23.5,25.5,96,6,90
2011,12,19,10.4,30.4,24,27.2,91,4,360
2011,12,20,6.3,29.5,25.5,27.5,92,5,60
2011,12,21,0,30.5,25.7,28.1,86,6,90
2011,12,22,8.6,29.4,23.5,26.5,92,7,60
2011,12,23,0,30.2,25,27.6,88,7,40
2011,12,24,12.1,29.8,25.5,27.7,85,7,40
2011,12,25,0,29.8,25.4,27.6,86,10,50
2011,12,26,61.4,28.3,22.8,25.6,94,14,50
2011,12,27,14.4,28.4,24.6,26.5,93,5,90
2011,12,28,0.2,30.6,25.1,27.9,94,6,60
2011,12,29,45.4,29.2,23,26.1,92,9,60
2011,12,30,93.4,28,23,25.5,94,9,40
2011,12,31,24,28.7,23,25.9,95,10,30
2012,1,1,39.6,29.3,23.3,26.3,96,6,50
2012,1,2,10.8,28.8,24.3,26.6,91,6,50
2012,1,3,4.6,27.2,23.2,25.2,86,6,50
2012,1,4,2.6,29.5,23.7,26.6,92,9,60
2012,1,5,38.2,27.5,23.3,25.4,96,10,60
2012,1,6,25.5,29.5,22.7,26.1,92,10,70
2012,1,7,47.8,29,22.5,25.8,96,8,80
2012,1,8,29.6,28.5,23.3,25.9,93,7,40
2012,1,9,16.6,28,23,25.5,95,9,60
2012,1,10,105.3,28,22.7,25.4,98,10,90
2012,1,11,51.2,28.8,22.5,25.7,94,8,90
2012,1,12,72.9,27.7,22.2,25,95,10,90
2012,1,13,0.6,28.8,24.5,26.7,86,9,90
2012,1,14,13.4,29.4,24.5,27,88,7,70
2012,1,15,8.5,29,22.5,25.8,94,3,70
2012,1,16,7,28,24,26,94,1,280
2012,1,17,35,29.5,23,26.3,93,3,20
2012,1,18,0,30,24.3,27.2,89,1,90
2012,1,19,2.3,30,23.5,26.8,86,3,60
2012,1,20,0,30,23.5,26.8,81,4,60
2012,1,21,2.6,29.7,24,26.9,79,5,60
2012,1,22,0,29.4,24.5,27,87,2,70
2012,1,23,0,29.8,24.4,27.1,84,2,50
2012,1,24,9.5,29,23.5,26.3,92,5,40
2012,1,25,10.7,30,22.4,26.2,89,6,50
2012,1,26,7.4,29,23.3,26.2,88,8,60
2012,1,27,8.2,29,23.8,26.4,92,8,70
2012,1,28,6.8,29.5,23.5,26.5,91,6,80
2012,1,29,24.3,29.2,22.5,25.9,94,2,90
2012,1,30,2.1,29.5,24.5,27,92,3,60
2012,1,31,0,30,24.6,27.3,87,5,60
2012,2,1,0.3,29,23.8,26.4,82,6,90
2012,2,2,2.3,28,23,25.5,85,10,60
2012,2,3,0.2,28.5,22.5,25.5,76,11,60
2012,2,4,48.7,28.8,23.5,26.2,79,10,50
2012,2,5,78.1,28,20.6,24.3,96,10,70
2012,2,6,4.9,28,23.3,25.7,95,7,60
2012,2,7,41.5,28.5,22.2,25.4,91,2,90
2012,2,8,25,28,22.5,25.3,93,7,60
2012,2,9,0.3,28.5,24.1,26.3,87,8,90
2012,2,10,71.4,28.8,22.1,25.5,92,10,40
2012,2,11,50.4,26.7,22.6,24.7,96,13,70
2012,2,12,37.2,27.2,20.9,24,98,7,90
2012,2,13,2.7,29,24.4,26.7,95,4,90
2012,2,14,33.6,30,22.2,26.1,91,6,50
2012,2,15,8,27.8,25.2,26.5,91,6,50
2012,2,16,0.7,32,25.5,28.8,93,5,50
2012,2,17,0.5,29.4,24.6,27,91,5,80
2012,2,18,68,28.7,22,25.4,94,3,90
2012,2,19,4.5,28.9,23.8,26.4,91,4,90
2012,2,20,0,29.8,25.5,27.7,87,5,90
2012,2,21,1.4,29.3,24.5,26.9,91,6,80
2012,2,22,0,29.5,24.5,27,84,5,60
2012,2,23,0,29.5,24.8,27.2,84,6,90
2012,2,24,0.4,30,24,27,86,6,60
2012,2,25,9,30.5,23.2,26.9,88,4,80
2012,2,26,20,28,23.3,25.7,94,6,60
2012,2,27,13,29,24.5,26.8,89,5,50
2012,2,28,0,29.3,25,27.2,86,5,60
2012,2,29,0,29.5,25.6,27.5,86,8,60
2012,3,1,4.3,29.5,25.3,27.4,86,8,60
2012,3,2,5.5,29.8,22,25.9,84,9,60
2012,3,3,4.8,29,25,27,88,11,60
2012,3,4,9.8,27,23.5,25.3,94,8,60
2012,3,5,3.5,29,24.6,26.8,91,6,70
2012,3,6,4,30,24.5,27.3,86,4,60
2012,3,7,0,29.5,25,27.3,84,4,60
2012,3,8,2.9,29.8,25,27.4,79,6,60
2012,3,9,2.3,30,24.4,27.2,81,5,50
2012,3,10,8,28.3,23.5,25.9,89,6,50
2012,3,11,11,28.9,24.2,26.5,91,7,60
2012,3,12,2.4,27.8,23.3,25.6,86,6,60
2012,3,13,16.5,28.5,23.8,26.2,88,8,60
2012,3,14,0,29.8,26,27.9,78,11,60
2012,3,15,0,29.3,24.5,26.9,80,9,60
2012,3,16,11.2,29.8,22.5,26.2,79,8,60
2012,3,17,0,29,23.5,26.3,83,9,50
2012,3,18,148.2,28.5,22,25.3,95,4,50
2012,3,19,58.8,26.4,22,24.2,98,5,50
2012,3,20,7.6,29.4,23.3,26.4,94,2,220
2012,3,21,0.1,29.7,24.9,27.3,89,5,90
2012,3,22,2.4,30,25.9,28,89,6,90
2012,3,23,0,29.5,24.3,26.9,89,3,300
2012,3,24,2,31,23.6,27.3,85,2,360
2012,3,25,0,30.7,24.5,27.6,82,5,60
2012,3,26,20,30,23,26.5,85,6,50
2012,3,27,59.1,28,23.2,25.6,99,6,90
2012,3,28,22.7,29.5,22.8,26.2,91,4,50
2012,3,29,0,29.8,25,27.4,88,5,70
2012,3,30,5.4,29.8,24,26.9,85,4,90
2012,3,31,0.1,30.6,24.5,27.5,90,4,60
2012,4,1,7,30.6,25.5,28,86,5,60
2012,4,2,0,29.9,25,27.5,89,5,60
2012,4,3,0.5,31,25.5,28.3,85,4,60
2012,4,4,0,30.5,25.3,27.9,82,5,40
2012,4,5,0,30.5,24.5,27.5,88,4,50
2012,4,6,0,31,24,27.5,82,4,60
2012,4,7,0,30.7,24.9,27.8,78,6,60
2012,4,8,1.5,31,24.6,27.8,82,6,60
2012,4,9,0.1,29.2,24.8,27,89,7,60
2012,4,10,2.7,30.5,23.9,27.2,88,6,80
2012,4,11,0,30.8,25.4,28.1,82,4,70
2012,4,12,0.1,31.8,26,28.9,82,5,60
2012,4,13,0,31,25.9,28.5,74,5,50
2012,4,14,0,30.8,26,28.4,80,6,60
2012,4,15,0,31,26,28.5,82,5,50
2012,4,16,0,30.5,24.6,27.5,84,6,60
2012,4,17,0,31.8,24.2,28,75,5,60
2012,4,18,0,31.5,25.5,28.5,77,5,60
2012,4,19,0,32.3,26.1,29.2,77,5,60
2012,4,20,11.2,31.8,23.7,27.8,81,5,60
2012,4,21,1.4,30,25.2,27.6,91,5,100
2012,4,22,30.1,31,22,26.5,86,6,90
2012,4,23,9.2,30,24.6,27.3,94,4,90
2012,4,24,0,30.8,25.5,28.2,82,4,60
2012,4,25,0,31.5,25.7,28.6,82,2,110
2012,4,26,0,32.3,26,29.1,81,3,90
2012,4,27,0,30.8,25.5,28.2,81,4,80
2012,4,28,0.4,32,28.2,30.1,82,5,120
2012,4,29,13.1,31.2,25.2,28.2,86,4,100
2012,4,30,4,30,24.5,27.3,91,3,90
2012,5,1,5.1,31.3,24.5,27.9,92,2,90
2012,5,2,0,31.8,25.6,28.7,86,2,240
2012,5,3,0,32,25.9,29,84,2,120
2012,5,4,0,31.8,25.4,28.6,84,2,140
2012,5,5,0,32.4,27,29.7,83,2,90
2012,5,6,0,32,25.2,28.6,77,2,90
2012,5,7,8.8,32.4,24.5,28.5,81,2,90
2012,5,8,4.5,31.2,24.5,27.9,91,3,70
2012,5,9,6.8,29.8,25.1,27.5,97,2,300
2012,5,10,0,31.7,23.8,27.8,84,3,60
2012,5,11,2.5,30.4,24.3,27.4,84,2,60
2012,5,12,0.6,32,26.2,29.1,88,4,270
2012,5,13,0,32,25.5,28.8,82,3,240
2012,5,14,4.5,31.5,24.8,28.2,85,3,70
2012,5,15,1,30.7,25.6,28.2,90,4,120
2012,5,16,7.5,31.3,24.7,28,88,3,290
2012,5,17,1,32.1,25.6,28.9,88,3,60
2012,5,18,2.3,32.7,24.5,28.6,85,3,60
2012,5,19,0,32.6,26.5,29.6,82,2,60
2012,5,20,0,33,25.6,29.3,80,2,240
2012,5,21,0,33.5,24.8,29.2,80,2,320
2012,5,22,0,34,25.6,29.8,84,3,270
2012,5,23,0,34.5,25.5,30,83,3,280
2012,5,24,0,33.4,25,29.2,85,2,330
2012,5,25,0,34.4,25.8,30.1,80,3,250
2012,5,26,0,33.7,25.7,29.7,82,2,280
2012,5,27,1.8,34,25.6,29.8,80,2,70
2012,5,28,0.3,33.3,24.5,28.9,87,3,290
2012,5,29,17,32.7,24,28.4,89,3,270
2012,5,30,0,32.2,24.4,28.3,89,3,280
2012,5,31,5.9,32.3,24.3,28.3,90,4,270
2012,6,1,1,31,25.5,28.3,86,6,250
2012,6,2,3,31.5,25.5,28.5,82,7,220
